,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,priority_min,priority_max,path_len,path_count,sla
81,4,7,25,26,0.01,0.3,1,2,1,1,2000,1,4.843484336255081e-14
82,4,8,25,26,0.01,0.3,1,2,1,1,2000,1,0.0010018287361953744
83,4,9,25,26,0.01,0.3,1,2,1,1,2000,1,2.501563854784325e-13
84,4,10,25,26,0.01,0.3,1,2,1,1,2000,1,4.111100647678474e-06
85,4,11,25,26,0.01,0.3,1,2,1,1,2000,1,2.5910174206028975e-11
86,4,12,25,26,0.01,0.3,1,2,1,1,2000,1,3.267644443154643e-07
87,4,13,25,26,0.01,0.3,1,2,1,1,2000,1,1.739888658090944e-14
88,4,14,25,26,0.01,0.3,1,2,1,1,2000,1,1.4388191691052305e-05
89,4,15,25,26,0.01,0.3,1,2,1,1,2000,1,2.650267591099353e-09
90,4,16,25,26,0.01,0.3,1,2,1,1,2000,1,6.373867208313e-06
91,4,17,25,26,0.01,0.3,1,2,1,1,2000,1,6.79598552099018e-14
92,4,18,25,26,0.01,0.3,1,2,1,1,2000,1,8.50540189146039e-13
93,4,19,25,26,0.01,0.3,1,2,1,1,2000,1,2.268528377671501e-07
94,4,20,25,26,0.01,0.3,1,2,1,1,2000,1,1.4775425672784963e-14
95,4,21,25,26,0.01,0.3,1,2,1,1,2000,1,0.0005692401823364889
96,4,22,25,26,0.01,0.3,1,2,1,1,2000,1,1.5779590860258562e-10
97,4,23,25,26,0.01,0.3,1,2,1,1,2000,1,1.6968386733699418e-06
98,4,24,25,26,0.01,0.3,1,2,1,1,2000,1,3.731410801497559e-05
99,4,25,25,26,0.01,0.3,1,2,1,1,2000,1,1.7673283947824795e-08
100,5,1,25,26,0.01,0.3,1,2,1,1,2000,1,2.3655741708438105e-07
101,5,2,25,26,0.01,0.3,1,2,1,1,2000,1,1.4892668380518975e-05
102,5,3,25,26,0.01,0.3,1,2,1,1,2000,1,1.1399533070667653e-07
