,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,path_len,path_count,sla
173,4,24,50,25,0.01,0.3,1,2,2000,1,6.570763716209324e-05
174,4,25,50,25,0.01,0.3,1,2,2000,1,1.8760106148571524e-05
175,4,26,50,25,0.01,0.3,1,2,2000,1,3.396714468299353e-05
176,4,27,50,25,0.01,0.3,1,2,2000,1,6.454243513437045e-07
177,4,28,50,25,0.01,0.3,1,2,2000,1,1.1006063360641731e-06
178,4,29,50,25,0.01,0.3,1,2,2000,1,0.0013634716488970088
179,4,30,50,25,0.01,0.3,1,2,2000,1,2.6749339233154295e-08
180,4,31,50,25,0.01,0.3,1,2,2000,1,3.8097466812608823e-06
181,4,32,50,25,0.01,0.3,1,2,2000,1,0.0020448424171623956
182,4,33,50,25,0.01,0.3,1,2,2000,1,0.0008444363345525947
183,4,34,50,25,0.01,0.3,1,2,2000,1,0.002155003728693218
184,4,35,50,25,0.01,0.3,1,2,2000,1,8.951123478715659e-05
185,4,36,50,25,0.01,0.3,1,2,2000,1,0.0013266751009183434
186,4,37,50,25,0.01,0.3,1,2,2000,1,5.7867847470112205e-11
187,4,38,50,25,0.01,0.3,1,2,2000,1,7.331097330776685e-06
188,4,39,50,25,0.01,0.3,1,2,2000,1,5.5315364768287905e-06
189,4,40,50,25,0.01,0.3,1,2,2000,1,3.4816634777417865e-07
190,4,41,50,25,0.01,0.3,1,2,2000,1,8.278680759543125e-06
191,4,42,50,25,0.01,0.3,1,2,2000,1,1.2329548905286262e-06
192,4,43,50,25,0.01,0.3,1,2,2000,1,1.157988250021649e-06
193,4,44,50,25,0.01,0.3,1,2,2000,1,7.195944052347684e-08
194,4,45,50,25,0.01,0.3,1,2,2000,1,0.0030348958626001815
195,4,46,50,25,0.01,0.3,1,2,2000,1,0.0003184155728533232
196,4,47,50,25,0.01,0.3,1,2,2000,1,7.865386289482326e-09
197,4,48,50,25,0.01,0.3,1,2,2000,1,2.0793116810190287e-08
198,4,49,50,25,0.01,0.3,1,2,2000,1,3.483946799646613e-06
199,4,50,50,25,0.01,0.3,1,2,2000,1,0.002363802926521154
200,5,1,50,25,0.01,0.3,1,2,2000,1,1.355630493854426e-28
201,5,2,50,25,0.01,0.3,1,2,2000,1,3.767299800581012e-18
202,5,3,50,25,0.01,0.3,1,2,2000,1,1.327022547817096e-14
203,5,4,50,25,0.01,0.3,1,2,2000,1,6.700172712877612e-12
204,5,5,50,25,0.01,0.3,1,2,2000,1,2.0648890371806574e-08
205,5,6,50,25,0.01,0.3,1,2,2000,1,1.6227924560685866e-28
206,5,7,50,25,0.01,0.3,1,2,2000,1,2.9866063497115825e-20
207,5,8,50,25,0.01,0.3,1,2,2000,1,3.632768162996148e-39
208,5,9,50,25,0.01,0.3,1,2,2000,1,4.401892271196995e-19
209,5,10,50,25,0.01,0.3,1,2,2000,1,3.1027281679075695e-08
210,5,11,50,25,0.01,0.3,1,2,2000,1,8.01183966663056e-33
211,5,12,50,25,0.01,0.3,1,2,2000,1,1.1287452161923017e-14
212,5,13,50,25,0.01,0.3,1,2,2000,1,5.390021605112477e-07
213,5,14,50,25,0.01,0.3,1,2,2000,1,5.707513551883558e-21
214,5,15,50,25,0.01,0.3,1,2,2000,1,6.186465762365237e-44
215,5,16,50,25,0.01,0.3,1,2,2000,1,4.4014990532876944e-24
216,5,17,50,25,0.01,0.3,1,2,2000,1,1.55021419169477e-12
217,5,18,50,25,0.01,0.3,1,2,2000,1,1.6964153747230828e-13
218,5,19,50,25,0.01,0.3,1,2,2000,1,9.096981777898398e-16
219,5,20,50,25,0.01,0.3,1,2,2000,1,7.811399003257648e-16
220,5,21,50,25,0.01,0.3,1,2,2000,1,1.3405510371701907e-18
221,5,22,50,25,0.01,0.3,1,2,2000,1,2.909802080317763e-12
222,5,23,50,25,0.01,0.3,1,2,2000,1,3.5153688629287745e-26
223,5,24,50,25,0.01,0.3,1,2,2000,1,6.20756783570676e-37
224,5,25,50,25,0.01,0.3,1,2,2000,1,2.8863531342817357e-11
225,5,26,50,25,0.01,0.3,1,2,2000,1,4.164566050613779e-12
226,5,27,50,25,0.01,0.3,1,2,2000,1,1.1398898394195696e-08
227,5,28,50,25,0.01,0.3,1,2,2000,1,4.33264871171814e-14
228,5,29,50,25,0.01,0.3,1,2,2000,1,2.192061687785046e-09
229,5,30,50,25,0.01,0.3,1,2,2000,1,1.5024695435445845e-26
230,5,31,50,25,0.01,0.3,1,2,2000,1,9.001609298239357e-15
231,5,32,50,25,0.01,0.3,1,2,2000,1,4.693636959053923e-31
232,5,33,50,25,0.01,0.3,1,2,2000,1,2.3704261206523115e-23
233,5,34,50,25,0.01,0.3,1,2,2000,1,3.109669321011455e-13
